A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
30 	Ne     	10 	20 	0.0000  	0+            	23.3                	3         	7.39 MS 11               	0.00739                  	          	        	B2N     	8.90        
30 	Ne     	10 	20 	0.0000  	0+            	23.3                	3         	7.39 MS 11               	0.00739                  	          	        	B3N     	?           
30 	Ne     	10 	20 	0.0000  	0+            	23.3                	3         	7.39 MS 11               	0.00739                  	          	        	B-      	100.00      
31 	Ne     	10 	21 	0.0000  	(3/2-)        	31.2                	3         	3.4 MS 8                 	0.0034                   	          	        	BN      	?           
31 	Ne     	10 	21 	0.0000  	(3/2-)        	31.2                	3         	3.4 MS 8                 	0.0034                   	          	        	B-      	100.00      
32 	Ne     	10 	22 	0.0000  	0+            	37.0                	5         	3.5 MS 9                 	0.0035                   	          	        	B-      	100.00      
32 	Ne     	10 	22 	0.0000  	0+            	37.0                	5         	3.5 MS 9                 	0.0035                   	          	        	BN      	?           
32 	Ne     	10 	22 	0.0000  	0+            	37.0                	5         	3.5 MS 9                 	0.0035                   	          	        	B2N     	?           
32 	Ne     	10 	22 	0.0000  	0+            	37.0                	5         	3.5 MS 9                 	0.0035                   	          	        	B3N     	?           
33 	Ne     	10 	23 	0.0000  	              	46.0                	6         	180 NS LT                	1.8E-7                   	          	        	N       	            
34 	Ne     	10 	24 	0.0000  	0+            	52.8                	5         	60 NS GT                 	6.000000000000001E-8     	          	        	B-      	100.00      
34 	Ne     	10 	24 	0.0000  	0+            	52.8                	5         	60 NS GT                 	6.000000000000001E-8     	          	        	B3N     	?           
34 	Ne     	10 	24 	0.0000  	0+            	52.8                	5         	60 NS GT                 	6.000000000000001E-8     	          	        	BN      	?           
34 	Ne     	10 	24 	0.0000  	0+            	52.8                	5         	60 NS GT                 	6.000000000000001E-8     	          	        	B2N     	?           
18 	Na     	11 	7  	0.0000  	1-            	25.04               	9         	1.3E-21 S 4              	1.3E-21                  	          	        	P       	100.00      
19 	Na     	11 	8  	0.0000  	(5/2+)        	12.929              	11        	40 NS LT                 	4E-8                     	          	        	P       	            
20 	Na     	11 	9  	0.0000  	2+            	6.8506              	11        	447.9 MS 23              	0.448                    	          	        	EC      	100.00      
20 	Na     	11 	9  	0.0000  	2+            	6.8506              	11        	447.9 MS 23              	0.448                    	          	        	EA      	20.10       
21 	Na     	11 	10 	0.0000  	3/2+          	-2.18463            	10        	22.49 S 4                	22.49                    	          	        	EC      	100.00      
22 	Na     	11 	11 	0.0000  	3+            	-5.18151            	17        	2.6018 Y 22              	8.211E7                  	          	        	EC      	100.00      
23 	Na     	11 	12 	0.0000  	3/2+          	-9.5298525          	18        	STABLE                   	infinity                 	100%      	        	        	            
24 	Na     	11 	13 	0.0000  	4+            	-8.417901           	17        	14.997 H 12              	53989.2                  	          	        	B-      	100.00      
25 	Na     	11 	14 	0.0000  	5/2+          	-9.3578             	12        	59.1 S 6                 	59.1                     	          	        	B-      	100.00      
26 	Na     	11 	15 	0.0000  	3+            	-6.861              	4         	1.07128 S 25             	1.0713                   	          	        	B-      	100.00      
27 	Na     	11 	16 	0.0000  	5/2+          	-5.518              	4         	301 MS 6                 	0.301                    	          	        	B-      	100.00      
27 	Na     	11 	16 	0.0000  	5/2+          	-5.518              	4         	301 MS 6                 	0.301                    	          	        	BN      	0.13        
28 	Na     	11 	17 	0.0000  	1+            	-0.988              	10        	30.5 MS 4                	0.0305                   	          	        	BN      	0.84        
28 	Na     	11 	17 	0.0000  	1+            	-0.988              	10        	30.5 MS 4                	0.0305                   	          	        	B-      	100.00      
29 	Na     	11 	18 	0.0000  	3/2+          	2.680               	7         	44.1 MS 9                	0.0441                   	          	        	B-      	100.00      
29 	Na     	11 	18 	0.0000  	3/2+          	2.680               	7         	44.1 MS 9                	0.0441                   	          	        	BN      	25.00       
29 	Na     	11 	18 	0.0000  	3/2+          	2.680               	7         	44.1 MS 9                	0.0441                   	          	        	B2N     	?           
30 	Na     	11 	19 	0.0000  	2+            	8.475               	5         	48 MS 2                  	0.048                    	          	        	BA      	            
30 	Na     	11 	19 	0.0000  	2+            	8.475               	5         	48 MS 2                  	0.048                    	          	        	BN      	30.00       
30 	Na     	11 	19 	0.0000  	2+            	8.475               	5         	48 MS 2                  	0.048                    	          	        	B2N     	1.27        
30 	Na     	11 	19 	0.0000  	2+            	8.475               	5         	48 MS 2                  	0.048                    	          	        	B-      	100.00      
31 	Na     	11 	20 	0.0000  	3/2(+)        	12.246              	14        	17.4 MS 4                	0.0174                   	          	        	BN      	37.00       
31 	Na     	11 	20 	0.0000  	3/2(+)        	12.246              	14        	17.4 MS 4                	0.0174                   	          	        	B2N     	0.79        
31 	Na     	11 	20 	0.0000  	3/2(+)        	12.246              	14        	17.4 MS 4                	0.0174                   	          	        	B-      	100.00      
31 	Na     	11 	20 	0.0000  	3/2(+)        	12.246              	14        	17.4 MS 4                	0.0174                   	          	        	B3N     	?           
32 	Na     	11 	21 	0.0000  	(3-,4-)       	18.64               	4         	13.2 MS 4                	0.0132                   	          	        	B2N     	8.00        
32 	Na     	11 	21 	0.0000  	(3-,4-)       	18.64               	4         	13.2 MS 4                	0.0132                   	          	        	B3N     	?           
32 	Na     	11 	21 	0.0000  	(3-,4-)       	18.64               	4         	13.2 MS 4                	0.0132                   	          	        	B-      	100.00      
